x	y	total_counts
10x10	10	10	10249
10x13	10	13	2441
10x14	10	14	2028
10x15	10	15	1125
10x16	10	16	942
10x17	10	17	1704
10x19	10	19	5565
10x20	10	20	3354
10x24	10	24	3846
10x25	10	25	2181
10x26	10	26	2182
10x27	10	27	1479
10x28	10	28	2609
10x29	10	29	485
10x30	10	30	760
10x31	10	31	426
10x32	10	32	240
10x33	10	33	594
11x11	11	11	4560
11x13	11	13	1223
11x14	11	14	1481
11x15	11	15	955
11x16	11	16	838
11x17	11	17	1600
11x19	11	19	4167
11x21	11	21	3905
11x22	11	22	2861
11x23	11	23	2921
11x24	11	24	1613
11x25	11	25	812
11x26	11	26	798
11x27	11	27	1169
11x28	11	28	1668
11x29	11	29	1864
11x30	11	30	1105
11x31	11	31	1164
11x32	11	32	754
11x33	11	33	2367
11x34	11	34	5142
12x13	12	13	453
12x14	12	14	768
12x15	12	15	1227
12x16	12	16	1329
12x17	12	17	2049
12x19	12	19	2812
12x20	12	20	2374
12x21	12	21	5733
12x22	12	22	1767
12x23	12	23	2248
12x24	12	24	936
12x25	12	25	852
12x26	12	26	825
12x27	12	27	772
12x28	12	28	1455
12x29	12	29	927
12x30	12	30	416
12x31	12	31	324
12x32	12	32	950
12x33	12	33	1347
12x34	12	34	4572
13x13	13	13	4941
13x14	13	14	4032
13x15	13	15	5539
13x16	13	16	6663
13x17	13	17	5298
13x19	13	19	1419
13x20	13	20	931
13x21	13	21	1654
13x22	13	22	1394
13x23	13	23	1894
13x24	13	24	1311
13x25	13	25	908
13x26	13	26	345
13x27	13	27	358
13x28	13	28	363
13x29	13	29	417
13x30	13	30	891
13x31	13	31	1373
13x32	13	32	777
13x33	13	33	987
13x34	13	34	1749
14x13	14	13	13421
14x14	14	14	10954
14x15	14	15	14312
14x16	14	16	16428
14x17	14	17	11951
14x18	14	18	8729
14x19	14	19	1154
14x20	14	20	616
14x21	14	21	965
14x22	14	22	992
14x23	14	23	1767
14x24	14	24	1315
